,Name,Price,Genres,Release date,Average playtime forever,Positive,Negative
2539430,"Aug 1, 2023",0,,0 - 0,0,0,0
496350,"Jul 29, 2016",65,Adventure,0 - 20000,8,252,3
1034400,"May 6, 2019",0,Casual,0 - 20000,0,21,3
3292190,"Oct 31, 2024",0,"Casual,Indie,Simulation",0 - 20000,0,0,0
3631080,"Apr 24, 2025",0,"Action,Early Access",0 - 20000,0,0,0
1654170,"Apr 5, 2023",0,"Action,Adventure",0 - 20000,0,0,0
1934300,"Apr 8, 2025",10,"Simulation,Strategy",0 - 20000,675,117,13
700340,"Feb 1, 2018",0,"Action,Indie",0 - 20000,0,0,0
1157670,"May 7, 2021",0,"Casual,Indie",0 - 20000,0,28,4
1540330,"Dec 13, 2021",0,"Action,Casual,Indie,Strategy",0 - 20000,0,19,6
1946890,"Mar 25, 2022",0,,0 - 0,0,0,0
1108640,"Sep 25, 2019",0,"Adventure,Indie",0 - 20000,0,47,6
1025440,"Sep 5, 2019",0,Strategy,100000 - 200000,489,1025,210
2113450,"Apr 5, 2023",70,"Casual,Indie",0 - 20000,0,64,2
2922740,"Apr 19, 2024",66,"Adventure,Casual,Indie",0 - 20000,0,34,10
1282900,"Apr 29, 2020",0,RPG,0 - 20000,0,0,0
2517090,"Aug 10, 2023",0,Action,0 - 20000,0,2,0
328460,"Oct 23, 2014",0,"Action,Racing",0 - 20000,203,74,35
2260230,"Jan 9, 2023",0,"Action,Adventure,Indie,Free To Play,Early Access",0 - 0,0,0,0
2403000,"Jul 28, 2023",0,Casual,0 - 20000,88,0,0
2713630,"Jan 24, 2025",0,"Casual,Indie,Simulation",0 - 0,0,0,0
1607040,"Oct 21, 2021",0,"Indie,Strategy",0 - 20000,480,55,14
815170,"Jun 1, 2018",0,"Action,Adventure,Indie,RPG",0 - 20000,0,0,4
2072070,"Feb 14, 2024",0,"RPG,Strategy",0 - 20000,0,0,0
2349750,"Mar 8, 2023",0,,0 - 0,0,0,0
2628280,"Oct 4, 2023",0,,0 - 0,0,0,0
688420,"Nov 16, 2018",80,"Action,Indie,Simulation",500000 - 1000000,342,11367,831
657010,"Jul 26, 2017",0,"Casual,Free To Play",100000 - 200000,111,144,35
3281190,"Dec 4, 2024",0,"Action,Adventure,Casual,Indie,Sports",0 - 20000,0,6,0
2260360,"Jan 16, 2023",0,"Action,Casual",0 - 20000,0,5,0
1514380,"Jan 26, 2022",0,Action,20000 - 50000,0,75,34
496910,"Jul 8, 2016",0,Audio Production,0 - 20000,0,7,15
2334500,"Dec 13, 2024",0,"Action,Casual,Indie",0 - 20000,0,95,2
2075820,"Nov 18, 2023",0,"Action,Casual,Indie,Strategy",20000 - 50000,0,5,0
334030,"May 5, 2015",0,"Free To Play,Indie,Strategy",100000 - 200000,88,196,104
1479370,"Dec 20, 2020",0,"Action,Indie",0 - 20000,0,12,0
1784820,"Nov 11, 2022",0,"Action,Casual,Indie,RPG,Strategy,Early Access",0 - 20000,0,0,0
3098390,"Jul 31, 2024",0,"Indie,Early Access",0 - 20000,0,1,1
2808780,"Feb 14, 2024",80,"Action,Adventure",0 - 20000,0,10,2
2731180,"Jan 2, 2024",0,Action,0 - 0,0,0,0
1186670,"Nov 28, 2019",0,Action,100000 - 200000,0,26,9
830470,"May 3, 2018",0,"Action,Casual,Indie",0 - 20000,220,39,4
416790,"Sep 29, 2016",0,"Action,Indie,RPG",20000 - 50000,183,330,65
3740060,"May 29, 2025",0,"Adventure,Casual,RPG",0 - 20000,0,0,0
3854040,"Jul 31, 2025",0,"Adventure,Casual,Indie,Simulation",0 - 0,0,0,0
2310500,"Aug 10, 2023",0,"Action,Indie,Free To Play",0 - 0,0,0,0
2641000,"Feb 21, 2024",0,"Action,Adventure,Indie",0 - 0,0,0,0
3797720,"Jul 9, 2025",0,"Casual,Indie,RPG",0 - 0,0,0,0
1814060,"Jan 7, 2022",0,"Action,Adventure,Indie",20000 - 50000,0,31,3
3297500,"Apr 8, 2025",0,Strategy,0 - 20000,0,3,0
3413300,"Jan 1, 2025",0,"Adventure,Casual,Indie",0 - 20000,0,1,1
2689730,"Mar 20, 2024",0,,0 - 0,0,0,0
3215680,"Oct 21, 2024",70,"Action,Adventure,Indie",0 - 20000,0,13,0
672230,"Dec 20, 2017",0,"Adventure,Indie",0 - 20000,0,54,22
1110050,"Jun 11, 2020",0,"Adventure,Casual,Indie",200000 - 500000,205,1637,230
1679730,"Jul 15, 2021",0,Casual,0 - 20000,0,0,0
2213070,"Feb 6, 2025",0,RPG,0 - 20000,0,8,7
1312060,"Feb 16, 2023",0,Indie,0 - 20000,0,59,2
1225710,"Jan 28, 2020",0,"Action,Indie",0 - 20000,0,4,1
2745650,"Mar 4, 2024",0,"Casual,Indie",0 - 20000,0,2,0
1458550,"Nov 16, 2020",0,"Adventure,Indie,Simulation",0 - 20000,0,2,1
3491950,"Jul 13, 2025",0,"Casual,Simulation",0 - 0,0,0,0
2418380,"Jun 7, 2023",0,Casual,0 - 20000,0,2,0
2558620,"Jun 17, 2025",33,"Action,Early Access",0 - 20000,0,0,0
1760420,"Oct 27, 2021",0,"Action,Indie",20000 - 50000,0,2,3
715560,"Feb 13, 2019",0,"Adventure,Indie",100000 - 200000,320,4608,549
690840,"Feb 8, 2018",0,"Casual,Indie",0 - 20000,0,0,1
849178,"Sep 14, 2018",0,"Action,Adventure",0 - 20000,0,13036,4825
1288940,"Aug 6, 2020",0,"Casual,Indie,Simulation,Early Access",0 - 20000,0,6,0
375510,"Jun 4, 2015",50,"Adventure,Indie,RPG,Early Access",500000 - 1000000,217,632,881
2921180,"Apr 29, 2024",0,"Casual,Indie,Simulation",0 - 20000,0,1,1
2285640,"Feb 26, 2024",0,"Action,Adventure,Indie,RPG",0 - 20000,0,19,7
2948750,"May 22, 2024",0,"Casual,Indie",0 - 20000,0,6,0
2251810,"Jan 3, 2023",0,"Casual,Indie",0 - 20000,0,34,5
3371770,"Aug 21, 2025",0,"Action,Early Access",0 - 20000,166,0,0
2404170,"Feb 9, 2025",0,"Adventure,Indie,RPG,Simulation,Strategy",0 - 20000,0,160,49
1375300,"Aug 31, 2020",0,"Action,Indie,Massively Multiplayer",0 - 20000,0,0,1
370560,"Jan 20, 2016",0,"Casual,Simulation",0 - 20000,0,7,5
4063660,"Oct 17, 2025",0,"Action,Casual,Indie",0 - 0,0,0,0
3976870,"Sep 30, 2025",0,"Adventure,Indie",0 - 0,0,0,0
867790,"Jul 18, 2018",0,"Action,Indie,Simulation",0 - 20000,0,6,1
1555110,"Aug 13, 2021",0,Adventure,100000 - 200000,91,3624,297
1871390,"Jan 26, 2022",0,"Animation & Modeling,Video Production,Early Access",0 - 0,0,0,0
3050490,"Apr 9, 2025",0,Action,0 - 20000,0,15,2
2997980,"Sep 27, 2024",0,"Casual,RPG",20000 - 50000,335,687,92
1420650,"Jun 18, 2021",0,"Action,Indie",50000 - 100000,470,84,3
3358520,"Dec 4, 2024",0,Casual,0 - 0,0,0,0
1512170,"Jan 18, 2021",51,"Action,Indie",0 - 20000,0,1,5
1555080,"Mar 26, 2021",30,"Action,Casual,Indie",0 - 20000,0,23,3
3528950,"Jun 24, 2025",0,"Casual,Indie",0 - 20000,0,0,0
808450,"Jun 25, 2018",0,"Violent,Gore,Action,Casual,Indie",0 - 20000,0,12,3
1133260,"Oct 13, 2020",0,"Casual,Indie",0 - 20000,0,4,1
1605440,"May 8, 2021",0,"Adventure,Casual,Indie,Early Access",20000 - 50000,0,24,10
3466680,"Jul 11, 2025",0,RPG,0 - 0,0,0,0
375500,"Oct 26, 2016",75,RPG,20000 - 50000,37,74,52
914710,"Sep 24, 2019",75,"Action,Adventure,Indie,RPG",200000 - 500000,263,6092,273
1952770,"Jun 3, 2022",0,"Action,Casual,Massively Multiplayer,Strategy",100000 - 200000,0,0,0
2782210,"Jan 17, 2024",0,,0 - 0,0,0,0
2756570,"Feb 23, 2024",0,"Action,Casual,Indie",0 - 20000,0,14,1
2874130,"Jun 8, 2025",15,"Action,Indie",0 - 20000,17,0,0
374640,"Oct 7, 2015",0,"Indie,Simulation,Strategy",0 - 20000,383,26,52
1030520,"Mar 5, 2019",0,"Casual,Indie",0 - 20000,0,2,1
3664570,"Apr 19, 2025",0,,0 - 0,0,0,0
290730,"Sep 16, 2014",0,"Casual,Free To Play,Indie,Massively Multiplayer,Strategy",500000 - 1000000,1977,2766,540
2651550,"Jan 8, 2025",0,"Adventure,Casual,Simulation",0 - 20000,0,0,0
259190,"Oct 29, 2013",75,"Action,Adventure",20000 - 50000,127,437,185
3569510,"Apr 15, 2025",0,"Adventure,Indie,Free To Play",0 - 0,0,0,0
2057490,"Oct 25, 2022",0,"Casual,Early Access",0 - 20000,0,0,3
2569500,"Sep 29, 2023",60,Simulation,0 - 20000,0,0,0
3090800,"Dec 27, 2024",0,"Casual,Indie",20000 - 50000,0,5,0
1337260,"Jul 17, 2020",0,"Simulation,Strategy",0 - 20000,0,0,0
861760,"Sep 6, 2018",0,"Sexual Content,Nudity,Adventure,Indie",0 - 20000,0,40,20
1010420,"Mar 11, 2019",0,"Action,Casual,Indie,Massively Multiplayer",0 - 20000,0,2,0
3245410,"Mar 28, 2025",0,"Casual,Indie",0 - 20000,0,0,0
3799320,"Sep 8, 2025",0,"Action,Adventure,Indie",0 - 0,0,0,0
1024330,"Feb 27, 2019",0,"Adventure,Free To Play,Indie,RPG",0 - 20000,0,8,4
3581240,"Sep 24, 2025",0,,0 - 0,0,0,0
1527880,"Feb 19, 2021",0,"Adventure,Indie",0 - 20000,57,77,7
1549730,"Feb 25, 2021",0,,0 - 0,0,0,0
874930,"Jul 25, 2018",0,"Casual,Indie,Simulation,Strategy",0 - 20000,0,9,6
2340960,"Oct 16, 2023",0,Indie,0 - 20000,0,5,0
1187950,"Dec 8, 2019",80,"Action,Adventure,Indie",0 - 20000,0,24,3
1170750,"Jan 27, 2020",50,Education,0 - 20000,0,13,2
3100950,"Oct 24, 2024",50,"Adventure,Casual,Indie",0 - 20000,0,0,0
2051060,"Feb 24, 2023",0,"Free To Play,Strategy",0 - 20000,0,0,0
595130,"Feb 28, 2017",0,"Casual,Simulation",0 - 20000,185,30,7
1547320,"Nov 5, 2021",25,"Action,Adventure,Indie",0 - 20000,0,7,1
3400080,"Dec 28, 2024",0,"Action,Casual,Indie,Simulation,Strategy",0 - 20000,0,4,2
2148770,"Apr 30, 2025",50,"Casual,Indie",0 - 20000,0,4,0
2823420,"Mar 19, 2024",0,RPG,0 - 20000,0,0,1
3505390,"Feb 20, 2025",0,"Racing,Simulation",0 - 20000,0,0,0
2534490,"Aug 14, 2023",0,"Action,Casual,Indie,RPG",0 - 20000,0,6,0
2492850,"Jan 10, 2025",0,"Action,Adventure,Indie",0 - 20000,0,14,10
943030,"Oct 25, 2018",0,"Action,Indie,RPG",0 - 20000,0,2,2
2126990,"Feb 5, 2023",70,"Action,Adventure,Simulation",0 - 20000,167,155,115
3904120,"Aug 9, 2025",0,Casual,0 - 20000,0,0,0
3225840,"Oct 11, 2024",0,"Indie,Simulation",0 - 20000,0,1,1
1639330,"Sep 10, 2021",0,,0 - 0,0,0,0
2390600,"Dec 15, 2023",0,"Casual,Indie",0 - 20000,0,9,0
2509610,"Aug 4, 2023",0,"Action,Indie,Simulation,Early Access",0 - 20000,0,0,0
2599060,"Mar 5, 2024",0,"Action,Adventure,Indie,Simulation,Strategy",0 - 20000,0,0,0
2784080,"Mar 21, 2024",0,"Adventure,Free To Play",0 - 20000,0,12,3
949530,"Nov 19, 2018",0,"Action,Indie",0 - 20000,0,56,24
558660,"Nov 22, 2016",0,"Adventure,Indie,Simulation",200000 - 500000,265,228,61
3822840,"Jul 25, 2025",0,"Casual,Indie,Simulation,Strategy",0 - 20000,0,0,0
1042030,"Mar 22, 2019",0,"Casual,Indie",0 - 20000,0,23,17
3170670,"Dec 31, 2024",0,"Indie,Free To Play",0 - 0,0,0,0
426590,"Dec 18, 2015",0,"Adventure,Indie,RPG,Simulation,Strategy,Early Access",50000 - 100000,0,30,45
877070,"Jun 25, 2018",0,"Action,Indie",0 - 20000,0,1,1
1190590,"Nov 22, 2019",0,"Indie,Strategy",0 - 20000,0,6,4
441250,"Sep 22, 2016",90,"Action,Adventure,Indie",20000 - 50000,145,61,45
2010170,"Jul 2, 2022",0,"Action,Adventure,Free To Play",0 - 0,0,0,0
1424120,"Oct 4, 2020",0,"Action,Adventure,Casual,Indie,Early Access",20000 - 50000,0,1,0
2477130,"Feb 29, 2024",0,"Indie,RPG,Free To Play",0 - 0,0,0,0
31800,"Oct 10, 2009",0,Adventure,20000 - 50000,391,129,27
1758200,"Oct 8, 2021",0,"Action,Indie,Free To Play",0 - 0,0,0,0
1712890,"Jan 14, 2022",0,"Indie,Strategy",0 - 20000,0,28,4
1012210,"Apr 17, 2020",0,"Action,Adventure,Indie",0 - 20000,0,0,10
716870,"Oct 5, 2017",0,"Casual,Indie",0 - 20000,99,17,13
1614960,"Sep 15, 2021",0,"Action,Adventure,Casual,Indie",0 - 20000,0,18,1
3160060,"Jan 30, 2025",0,"Action,Indie",0 - 20000,0,15,4
846660,"Oct 7, 2019",0,"Adventure,Casual,Indie,RPG,Simulation",0 - 20000,0,7,12
1477330,"Jan 5, 2021",0,"Adventure,Indie,RPG,Strategy",100000 - 200000,503,538,47
3341620,"Dec 19, 2024",0,"Action,Casual,Free To Play",0 - 0,0,0,0
2280320,"Apr 3, 2023",30,Simulation,0 - 20000,0,114,52
2629660,"Jan 8, 2025",0,"Casual,Indie",0 - 20000,0,3,0
3392860,"Dec 9, 2024",0,,0 - 0,0,0,0
3171480,"Aug 6, 2025",20,"Indie,Strategy",0 - 20000,0,0,0
2446080,"Jul 24, 2024",0,Indie,0 - 20000,0,22,0
2073030,"Sep 14, 2025",0,Action,0 - 20000,0,0,0
3404010,"Jan 2, 2025",0,"Adventure,Indie",20000 - 50000,0,22,7
3592140,"Nov 7, 2025",0,"Action,Adventure,Indie,RPG",0 - 0,0,0,0
1272080,"Sep 21, 2023",50,"Action,Adventure,RPG",2000000 - 5000000,1421,25497,33195
2725090,"Feb 29, 2024",0,"Adventure,Indie",0 - 0,0,0,0
2912530,"Jun 8, 2024",50,"Adventure,Indie,RPG",0 - 20000,0,0,1
2254020,"Jan 5, 2023",0,"Action,Adventure,Indie",0 - 20000,0,6,0
1813100,"Feb 9, 2022",0,"Action,Adventure,Indie,RPG",0 - 20000,0,21,2
2520570,"Mar 30, 2024",0,"Action,Adventure,Indie,Free To Play",0 - 0,0,0,0
2116840,"Oct 5, 2022",0,"Indie,RPG,Strategy",20000 - 50000,0,3,1
3885290,"Oct 11, 2025",0,"Action,Indie",0 - 0,0,0,0
306200,"Jun 5, 2014",0,"Casual,Strategy",200000 - 500000,280,334,91
2287970,"Oct 13, 2023",0,"Adventure,Casual,Indie,RPG",20000 - 50000,526,474,64
1106180,"Jul 15, 2019",0,"Animation & Modeling,Design & Illustration,Game Development",0 - 20000,337,56,39
2341450,"Mar 24, 2023",70,"Action,Casual,Indie",0 - 20000,0,10,2
3126660,"Mar 4, 2025",0,"Casual,Indie",0 - 20000,0,3,0
485430,"Dec 17, 2016",51,"Violent,Gore,Indie,Early Access",0 - 20000,362,36,11
3085750,"Sep 4, 2024",0,,0 - 0,0,0,0
3330160,"Jul 18, 2025",30,"Adventure,Casual,Indie,Strategy",0 - 20000,156,0,0
3603420,"Dec 15, 2025",10,"Simulation,Early Access",0 - 20000,0,0,0
544790,"Jan 14, 2018",0,"Adventure,Casual,Indie,Simulation,Strategy",0 - 20000,0,47,30
3973110,"Aug 26, 2025",0,,0 - 0,0,0,0
2767910,"Oct 21, 2025",50,Strategy,0 - 20000,0,0,0
1210380,"Jun 11, 2020",0,"Casual,Free To Play,Indie",0 - 20000,0,24,10
2377660,"Oct 3, 2023",85,"Action,Adventure,Indie",0 - 20000,0,3,0
1460710,"Nov 29, 2020",0,"Adventure,Casual,Indie,Simulation,Sports",50000 - 100000,0,0,2
1980120,"Nov 14, 2024",0,"Action,Casual,Indie,Early Access",0 - 20000,0,1,0
2301130,"Oct 31, 2023",0,"Action,Adventure,Casual",0 - 20000,0,2,0
1815160,"Nov 10, 2021",0,"Casual,Indie",0 - 20000,0,0,0
2672770,"Dec 1, 2023",0,"Casual,Indie,Strategy",0 - 20000,0,34,0
2922800,"May 29, 2024",0,"Casual,Indie,Simulation,Free To Play",0 - 20000,103,0,0
3500790,"Apr 11, 2025",0,"Adventure,Casual,Indie,RPG,Strategy,Free To Play",0 - 0,0,0,0
1089820,"Nov 1, 2019",0,"Indie,Simulation",0 - 20000,537,100,19
3419390,"Feb 5, 2025",0,"Action,Simulation,Strategy",0 - 20000,0,11,0
3162260,"Sep 11, 2024",0,"Casual,Indie,Simulation,Free To Play",0 - 20000,0,20,5
1610230,"May 24, 2021",0,"Adventure,Casual,Indie,RPG,Strategy",50000 - 100000,0,45,6
2796800,"Dec 19, 2024",0,"Indie,Massively Multiplayer,RPG,Free To Play",0 - 0,0,0,0
2697520,"May 8, 2025",0,"Action,Adventure,Indie,Simulation",0 - 20000,0,38,19
781000,"Feb 6, 2018",0,"Action,Adventure,Casual,Indie",0 - 20000,7,9,7
3556690,"Aug 24, 2025",50,"Action,Indie",0 - 20000,0,0,0
2461450,"Aug 1, 2023",50,"Casual,Indie,Strategy",0 - 20000,0,10,1
3920410,"Oct 1, 2025",0,"Animation & Modeling,Design & Illustration,Utilities",0 - 0,0,0,0
663760,"Oct 8, 2020",0,"Action,Casual,Free To Play,Indie",100000 - 200000,0,22,2
1388370,"Aug 20, 2020",0,"Action,Adventure,Casual,Indie,Racing,Simulation,Early Access",0 - 20000,0,107,81
1004350,"Jan 19, 2019",0,"Simulation,Strategy",0 - 20000,0,2,3
607020,"Apr 14, 2017",0,"Adventure,Casual,Indie,RPG,Strategy",50000 - 100000,235,33,17
1043140,"Apr 26, 2019",0,"Action,Adventure,Casual,Indie,RPG,Simulation,Strategy",0 - 20000,0,16,0
2094070,"May 29, 2024",0,"Action,Adventure,Indie,Early Access",0 - 20000,111,310,9
434920,"Jan 22, 2016",0,"Adventure,Casual,Indie,RPG",50000 - 100000,205,45,22
1422880,"Nov 21, 2020",0,"Action,Adventure,Casual,Indie,Sports",0 - 20000,0,18,2
732480,"Dec 5, 2017",0,"Casual,Simulation,Early Access",0 - 20000,0,4,4
1770180,"Oct 25, 2021",0,Action,0 - 0,0,0,0
850500,"May 16, 2018",0,"Casual,Indie,Simulation,Sports",50000 - 100000,108,40,4
919330,"Jan 27, 2021",0,"Adventure,Indie",50000 - 100000,0,255,78
3862690,"Jul 30, 2025",0,"Adventure,Casual,Sports",0 - 0,0,0,0
731690,"Apr 6, 2018",0,"Action,Adventure,Strategy",0 - 20000,0,1,1
1996470,"Aug 31, 2023",60,"Action,Adventure,Indie,Sports",0 - 20000,0,172,6
1137820,"Sep 1, 2019",0,"Action,Casual,Indie,Early Access",0 - 20000,0,2,2
2571270,"Jan 30, 2025",80,"Action,Indie,Early Access",0 - 20000,0,29,6
2365960,"May 16, 2024",0,"Indie,Early Access",0 - 20000,0,2,0
786370,"Mar 9, 2018",0,"Action,Free To Play,Indie",20000 - 50000,41,61,38
260730,"Nov 20, 2013",75,"Action,Strategy",200000 - 500000,421,1958,268
1903730,"Jun 1, 2022",0,Adventure,0 - 20000,24,140,12
1735060,"Aug 18, 2022",0,"Action,Adventure,Casual,Indie",0 - 20000,0,6,0
3554030,"Nov 28, 2025",0,"Indie,Simulation",0 - 20000,0,0,0
2154030,"Mar 12, 2023",0,Casual,0 - 20000,0,0,1
3438360,"Feb 15, 2025",0,Casual,0 - 20000,0,0,0
1855530,"Jan 27, 2022",0,,0 - 0,0,0,0
3617460,"Apr 19, 2025",0,"Casual,Indie",0 - 20000,0,2,0
764470,"Dec 20, 2017",0,"Action,Adventure,Indie",0 - 20000,0,13,4
3013070,"Jun 27, 2024",0,"Action,Adventure,Indie",0 - 20000,0,6,0
1269990,"May 8, 2020",0,"Free To Play,Indie",0 - 20000,0,20,4
1555470,"Dec 23, 2021",0,,0 - 20000,0,0,0
2282010,"Dec 16, 2023",0,"Action,Adventure,Casual,Indie,Strategy,Early Access",0 - 20000,0,2,0
2719820,"Feb 29, 2024",0,"Casual,Indie,Strategy,Early Access",100000 - 200000,0,2,0
3718870,"Aug 15, 2025",10,"Casual,Indie",0 - 20000,0,0,0
3106330,"Aug 15, 2025",0,"Action,Adventure,Indie",0 - 0,0,0,0
841110,"Dec 2, 2021",0,"Action,Adventure,Casual,Simulation",0 - 20000,0,10,1
3757820,"Oct 24, 2025",30,"Adventure,Casual,Indie,Simulation",0 - 20000,0,0,0
422920,"Nov 16, 2016",50,"Indie,Simulation,Strategy",50000 - 100000,3605,414,45
2847000,"Mar 21, 2024",0,"Action,Casual,Indie",0 - 20000,0,0,0
3866010,"Jul 29, 2025",0,Strategy,0 - 0,0,0,0
2760580,"Sep 15, 2025",0,"Action,Adventure,Simulation,Strategy,Early Access",0 - 20000,0,0,0
2838970,"Mar 10, 2024",0,"Action,Indie,RPG,Free To Play",0 - 0,0,0,0
4162630,"Dec 17, 2025",0,"Action,Strategy,Free To Play",0 - 0,0,0,0
2434250,"Aug 22, 2024",0,,0 - 0,0,0,0
3538420,"Apr 20, 2025",0,"Action,Strategy",0 - 20000,0,0,0
962280,"Feb 1, 2019",0,"Action,Casual,Indie",0 - 20000,0,2,1
2173650,"Mar 24, 2023",0,"Casual,Indie,Simulation",0 - 20000,0,60,6
2835040,"Jul 17, 2025",0,"Action,Adventure,Free To Play",0 - 0,0,0,0
1922740,"Jul 11, 2025",10,"Indie,Simulation,Strategy",0 - 20000,925,0,0
3051720,"Mar 13, 2025",0,"Adventure,Free To Play",0 - 0,0,0,0
1517290,"Nov 19, 2021",0,"Action,Adventure,Casual",10000000 - 20000000,3258,139186,158588
3687720,"Jun 16, 2025",0,"Casual,Indie",0 - 20000,0,0,0
4142780,"Nov 27, 2025",0,"Adventure,Indie",0 - 20000,0,0,0
2345010,"Jun 3, 2023",0,"Casual,RPG",0 - 20000,0,3,1
1950460,"Jul 17, 2022",0,"Adventure,Sports",0 - 20000,0,0,0
516740,"Oct 27, 2016",50,"Casual,Strategy",0 - 20000,0,1,2
1495240,"Jan 28, 2021",0,"Action,Adventure,Indie",0 - 20000,0,0,2
1070300,"Aug 20, 2019",0,"Casual,Indie,Simulation,Sports,Strategy",0 - 20000,0,29,5
1331180,"Jul 20, 2022",0,"Action,Casual,Indie,Simulation,Early Access",0 - 20000,0,4,0
3339350,"Mar 4, 2025",0,"Action,Casual,Indie",0 - 20000,0,44,0
1462940,"Jan 16, 2021",0,"Action,Adventure",0 - 20000,0,0,0
671700,"Aug 11, 2017",0,"Action,Adventure,Indie",20000 - 50000,172,357,16
1316390,"May 25, 2020",0,"Casual,Indie,Strategy",0 - 20000,1493,148,7
4052020,"Nov 28, 2025",0,"Adventure,Indie",0 - 20000,0,0,0
503140,"Aug 24, 2016",0,"Action,Adventure,Indie,RPG",0 - 20000,0,16,6
1889930,"Jul 20, 2022",30,"Action,RPG",0 - 20000,149,476,111
4151810,"Nov 27, 2025",0,"Casual,Indie,Simulation",0 - 0,0,0,0
514970,"Aug 24, 2016",0,"Casual,Indie,Racing,Simulation",200000 - 500000,226,112,183
1832110,"Jul 29, 2022",0,"Action,Casual,Indie",0 - 20000,0,5,0
3948680,"Sep 3, 2025",0,"Adventure,Casual,Simulation",0 - 20000,0,0,0
2492400,"Sep 4, 2023",0,"Casual,Indie,Free To Play",0 - 0,0,0,0
2800900,"May 9, 2025",0,"Action,Indie,Strategy",0 - 20000,83,203,3
2711620,"Oct 19, 2024",0,"Casual,Indie,Simulation",0 - 20000,0,1,0
2921770,"May 2, 2024",0,Indie,0 - 20000,0,2,1
3851530,"Sep 12, 2025",0,,0 - 0,0,0,0
3207580,"Sep 20, 2024",0,"Casual,Indie",0 - 20000,0,5,0
2286320,"May 24, 2023",0,"Action,Casual,Free To Play,Strategy",0 - 0,0,0,0
1790360,"Jun 13, 2023",0,"Action,Adventure,Casual,Indie,Racing,RPG,Simulation",0 - 20000,20,63,23
2883890,"Nov 12, 2024",0,"Action,Indie",0 - 20000,0,5,0
3495030,"Oct 12, 2025",0,"Casual,Indie,Free To Play",0 - 0,0,0,0
2294160,"Sep 27, 2024",0,"Indie,RPG,Strategy",0 - 20000,0,118,8
766110,"Apr 15, 2018",0,Video Production,0 - 20000,0,14,8
4025520,"Nov 28, 2025",0,"Casual,Indie,Simulation",0 - 0,0,0,0
1444360,"Nov 6, 2020",0,"Casual,Indie",0 - 20000,0,19,9
423810,"Sep 15, 2016",80,"Action,Casual,Indie",100000 - 200000,135,433,243
1363490,"Aug 26, 2020",0,"Adventure,Indie,RPG,Strategy",20000 - 50000,0,124,4
1142410,"Mar 16, 2020",0,"Action,Adventure,Indie",0 - 20000,0,17,6
1538640,"Jul 13, 2022",0,"Action,Indie",0 - 20000,0,23,14
1679990,"Jul 31, 2021",0,"Casual,Indie",0 - 20000,0,0,0
2528210,"Oct 19, 2023",0,"Indie,Strategy",0 - 20000,0,4,2
812580,"Sep 17, 2018",0,"Casual,Indie",0 - 20000,0,13,3
2928140,"Sep 2, 2024",50,"Casual,Indie",20000 - 50000,0,4,0
2825400,"Feb 22, 2024",0,"Adventure,Indie,Free To Play",0 - 0,0,0,0
1578430,"Sep 21, 2022",0,"Casual,Indie",0 - 20000,0,0,0
698790,"Sep 19, 2018",0,"Action,Adventure,Casual,Indie,Simulation",0 - 20000,38,43,16
2984570,"May 18, 2024",0,"Adventure,Casual,Indie",0 - 20000,0,0,0
3058130,"Jul 5, 2024",0,"Action,Adventure,Indie,Free To Play",0 - 20000,0,0,0
3549690,"Aug 18, 2025",0,"Indie,Simulation",0 - 0,0,0,0
1687350,"Jul 20, 2021",0,"Indie,RPG,Simulation,Strategy",0 - 20000,0,0,0
1862420,"May 31, 2022",0,"Action,Adventure,Early Access",0 - 20000,0,3,1
1832040,"Jul 17, 2024",75,"Action,Adventure,RPG",20000 - 50000,309,837,267
465360,"May 19, 2016",0,"Action,Strategy",0 - 20000,168,82,16
3479300,"Apr 17, 2025",0,Casual,0 - 20000,0,14,0
839090,"Apr 25, 2018",0,"Action,Sports",0 - 20000,0,6,2
3145640,"Jan 28, 2025",0,"Indie,Utilities",0 - 20000,0,54,26
1791660,"Mar 28, 2025",0,"Action,Adventure",0 - 20000,0,6,10
2205440,"Nov 3, 2022",0,,0 - 0,0,0,0
3427550,"Sep 1, 2025",0,"Casual,Indie,Simulation",0 - 0,0,0,0
3245570,"Nov 8, 2024",0,"Adventure,Casual,Indie",0 - 20000,0,2,0
1761940,"Aug 11, 2023",0,,0 - 0,0,0,0
2616800,"Mar 4, 2025",0,Simulation,0 - 20000,0,22,10
1584060,"Apr 16, 2021",0,Action,0 - 20000,0,3,1
3058300,"Jul 11, 2024",0,,0 - 0,0,0,0
3190610,"Mar 27, 2025",40,"Adventure,Indie",0 - 20000,0,10,3
1564840,"Oct 7, 2021",0,"Adventure,Casual,Free To Play,Indie,RPG,Simulation,Strategy,Early Access",0 - 0,0,0,0
1430220,"Apr 5, 2024",35,"Action,Adventure",20000 - 50000,641,520,42
2511230,"Aug 8, 2023",0,"Adventure,Casual,Indie",0 - 20000,0,5,1
2946280,"Feb 13, 2025",0,"Indie,Massively Multiplayer,RPG,Simulation,Strategy,Free To Play",0 - 0,0,0,0
1652740,"Dec 30, 2021",0,"Casual,Indie,Simulation,Early Access",0 - 20000,0,5,4
1703470,"Aug 11, 2021",69,"Adventure,Casual,Indie,Simulation,Strategy",20000 - 50000,0,16,12
2023640,"Jun 18, 2022",0,"Action,Adventure,Casual,Indie,Racing,Simulation,Sports,Strategy",0 - 20000,0,10,2
