,Name,Price,Genres,Release date,Average playtime forever,Positive,Negative
1853760,"Apr 2, 2024",40,"Action,Adventure,Indie",0 - 20000,613,439,12
2173700,"Nov 4, 2022",75,"Adventure,Casual,Indie,Simulation",0 - 20000,0,0,0
2530560,"Apr 16, 2025",30,Action,0 - 20000,0,43,15
2281360,"May 18, 2023",0,"Casual,Indie,Simulation",20000 - 50000,249,401,43
3536380,"Jul 3, 2025",0,"Casual,Indie,Simulation,Strategy",0 - 20000,2,0,0
1221250,"Mar 24, 2022",65,"Adventure,Indie",200000 - 500000,308,2429,188
3011620,"Jun 17, 2024",0,"Casual,Indie",0 - 0,0,0,0
4187570,"Dec 24, 2025",0,"Action,Adventure",0 - 0,0,0,0
384010,"Oct 9, 2015",0,"Action,Casual,Indie",20000 - 50000,1329,33,19
3809950,"Nov 7, 2025",15,"Indie,Simulation",0 - 20000,0,0,0
2252820,"Dec 20, 2024",0,"Adventure,Casual,Indie",0 - 20000,0,376,63
1448160,"Feb 21, 2021",0,Indie,0 - 20000,0,0,0
1335300,"Sep 6, 2020",50,"Action,Indie,RPG,Strategy",0 - 20000,0,17,8
1165910,"Apr 26, 2021",0,"Action,Adventure,RPG",0 - 20000,0,28,13
1965430,"Oct 2, 2024",0,"Action,Indie,RPG,Free To Play,Early Access",0 - 0,0,0,0
1651780,"Jun 16, 2021",50,Simulation,0 - 20000,0,61,2
293440,"Nov 10, 2014",0,"Action,Adventure,Indie,RPG",20000 - 50000,9,137,50
3497580,"May 17, 2025",0,,0 - 0,0,0,0
485040,"Jul 7, 2016",60,"Adventure,Simulation",20000 - 50000,237,762,59
1746080,"Sep 19, 2021",51,"Adventure,Indie",0 - 20000,0,0,0
2785920,"Apr 16, 2024",0,"Action,Adventure,RPG,Free To Play",0 - 0,0,0,0
1590730,"Aug 31, 2023",67,"Action,Adventure,Indie,RPG,Simulation",0 - 20000,0,0,0
4140140,"Nov 23, 2025",0,"Adventure,Racing",0 - 20000,0,0,0
2761550,"Feb 21, 2024",0,"Action,Indie",0 - 20000,0,3,3
2928900,"Oct 23, 2025",15,"Casual,Indie,Simulation",0 - 20000,0,0,0
3291900,"Jan 31, 2025",75,"Casual,Indie",0 - 20000,0,2,0
937160,"Oct 22, 2019",75,"Action,Simulation",0 - 20000,0,2,5
397810,"Apr 20, 2017",0,"Action,Adventure,Casual,Indie,Strategy",0 - 20000,0,6,18
1674510,"Sep 9, 2021",0,"Adventure,Casual,Indie",0 - 20000,0,0,1
1233880,"Sep 10, 2020",65,"RPG,Strategy",50000 - 100000,10598,724,98
2589650,"Feb 15, 2024",80,Casual,0 - 20000,0,1,1
2148110,"Mar 31, 2023",0,"Action,Adventure",0 - 20000,0,0,0
1694730,"Jul 20, 2021",0,"Casual,Education",0 - 20000,0,3,1
895170,"Aug 7, 2018",0,"Action,Casual,Indie",0 - 20000,0,12,1
1590230,"Jun 23, 2023",50,"Casual,Indie",50000 - 100000,0,1288,32
2571530,"Aug 29, 2023",0,,0 - 0,0,0,0
1653770,"Nov 30, 2024",60,"Indie,Strategy",0 - 20000,0,30,4
